,Title,Locality,Building/Area,Price,Area,Number_of_Bedrooms,Number_of_Bathrooms,Description
10,3 BHK Residential Apartment for rent in Thubarahalli,Thubarahalli,Sonestaa Meadows,28500,1400,3,2,"A beautiful 3 bhk flat for rent in thubarahalli, bangalore east is available. This 1-5 year old property is on the 2nd floor of 4 floors. It has 2 bathroom(s).
Spacious and thoughtfully designed, it has a super built-Up area of the built-Up area is 1400 sq. Ft. This is a semifurnished apartment with 2 balconies.
The flat is in a gated society.
It comes with a 3 wardrobe(s), 2 bed(s) and 1 modular kitchen.

The society has features like club house/community center, fitness centre/gym, swimming pool and lift(s). It is also equipped with amenities like club house/community center, fitness centre/gym, swimming pool and water softening plant. With full power back up, the society has other features like water softening plant. There is more than one covered parking."
11,4 BHK Independent Builder Floor for rent in Sector 3 HSR Layout,Sector 3 HSR Layout,,39000,1800,4,4,4 bhk duplex villa located close to bda park and play ground in sector 3 hsr layout property comes with 24hrs water supply covered parking private terrace with bamboo design close to bda complex orr open for working bachelors family or start ups pls cal for more info
12,3 BHK Residential Apartment for rent in Kereguddadahalli,Kereguddadahalli,Janapriya Greenwood,11000,1315,3,3,"Looking for an affordable apartment with best facilities? You are at the right place!

A fully furnished residential apartment at kereguddadahalli, bangalore north, with super built up area of 1315 sq. Ft. Is immediately available for rent.

It is located on the 3rd floor, which comprises of 3 bedrooms, 3 bathrooms, 2 wardrobes, modular kitchen, geyser, exhaust fan, and fans.

There is a balcony in the property, which makes it fully ventilated, full of natural light, with a relaxing view to enjoy.

Everything within the apartment is of high quality.

Residents will be able to enjoy the benefits of a secure and safe neighborhood as security is available in the building.

Many reputed hospitals, and restaurants are at close proximity to the property.

Key highlights (Facilities/features):

A) jogging track
B) childrens park
C) covered car parking
D) lifts
E) security personnel
F) full power backup
G) 24*7 water supply
H) visitor parking
I) close to school

Isnt it the perfect home you are looking for? Then wait no more and just grab the opportunity right away!

Contact owner for more information."
13,3 BHK Residential Apartment for rent in Jayamahal,Jayamahal,Mittal Luxuria,180000,3000,3,3,"Excellent flat for rent in jaymahal, bangalore north, 
3rd floor, 3000 sq ft located in prime location for rent , with spacious 3 bed rooms. Semi furnished with white goods, wardrobes, kitchen cabinets, and good light fittings, marble flooring, 2 reserved car parks, 100% power backup, servant restroom, sale price rs. 1.80 lakhs (Negotiable) plus maintenance. 

For more details and inspection contact 
Al-Khair property services"
14,2 Bedroom Independent House for rent in BTM 2nd Stage,BTM 2nd Stage,,21000,1200,2,2,"Hi 2bhk house for rent in good location and walk able to main road or bus stop. It is available for immediate occupation and which ready to occupy. For more details please contact me
 
 Additional details :

Having a provision to park 1 cars.
You can easily park your car inside the compound
 The house has boring supply.
The kitchen has been built with modular fittings.
Piped gas facility is available.
This is a corner house property."
15,1 Bedroom Independent House for rent in Singapura Village,Singapura Village,,7500,800,1,1,"Newly built house, nice locality, cauvery water.
 Additional details : Near to aveksha hospital. Inividual meters

Having a provision to park 2 cars.
You can easily park your car inside compound. 
Piped gas facility is available."
16,3 BHK Residential Apartment for rent in Hebbal,Hebbal,Karle Zenith Residences,70000,2430,3,4,"3 bhk apartment for rent in hebbal, bangalore north. It is a semifurnished apartment, located on the 24th floor of 34 floors. The apartment has 3 bedrooms 4 bathrooms 1 balcony(s). It is also equipped with 3 wardrobe(s), 1 modular kitchen, 5 ac(s), 3 geyser(s), 6 fan(s), 12 light(s), 1 stove(s), 1 chimney(s) and 1 exhaust fan(s). It is immediately available for all for rs. 70000 monthly. It is a 1-5 year old property and also has 1 covered parking. It has a super built-Up area of 2430 sq. Ft. It has lift(s), park, visitor parking, maintenance staff, intercom facility and security/fire alarm. Other features include club house/community center, fitness centre/gym, swimming pool and shopping centr etc. There is also a provision for rain water harvesting. There is a monthly maintenance cost of rs. 13000. Tenant needs to pay 10 months rent as the security deposit. No power cut."
17,(1 RK) Studio Apartment for rent in Cox Town,Cox Town,Raghav Heights,20000,550,1,1,"Available for bachelors and pg purpose and commercial use also 
1 rk studio apartment available on rent in cox town , bangalore central . 

 Additional details :

No power backup is available."
18,3 BHK Residential Apartment for rent in Govindapura,Govindapura,On Request,16000,1000,3,2,"I am looking for small and decent family of not more than 4 to 5 members, property is located at 7th cross, govindapira main road, close to market, schools like sjr, jss, the global etc, hospital, bus stop very near.
 Additional details :

No power backup is available."
19,3 BHK Residential Apartment for rent in Malur,Malur,Spectra Skypress,32000,1950,3,3,"3 bhk flat available for rent in whitefield, bangalore east. It is located in spectra skypress, which is a very good society. The space is semi-Furnished, located on 7th floor of 12 floors. It has 3 bedrooms, 3 bathrooms and 2 balcony(s). It is an ideal accommodation for family and has a super built-Up area of 1950. 0 sq. Ft. It includes 3 wardrobe(s), 1 modular kitchen, 3 geyser(s), 6 fan(s), 10 light(s) and 1 chimney(s). It is a 0-1 years. There is 1 covered parking. Available for a monthly rent of rs. 32000 and a security deposit of rs. 150000."
20,3 BHK Residential Apartment for rent in Hebbal,Hebbal,Karle Zenith Residences,75000,2858,3,4,"A beautiful 3 bhk flat for rent in hebbal, bangalore north is available. This 0-1 year old property is on the 15th floor of 34 floors. It has 4 bathroom(s).
Spacious and thoughtfully designed, it has a super built-Up area of 2858 sq. Ft. This is a semifurnished apartment with a single balcony.
The flat is a corner property in a gated society.
It comes with a 4 wardrobe(s), 1 modular kitchen, 5 ac(s), 3 geyser(s), 6 fan(s), 16 light(s), 1 stove(s), 1 water purifier(s), 1 chimney(s) and 1 exhaust fan(s).
This vaastu/feng shui compliant property has a 80 feet wide road in the front. It is a north facing apartment.
The society has features like club house/community center, fitness centre/gym, lift(s), swimming pool, park, visitor parking, security/fire alarm and intercom facility. It is also equipped with amenities like club house/community center, fitness centre/gym, swimming pool, park and shopping centre. With full power back up, the society has other features like shopping centre. There is one covered parking. The rent of this property is rs. 75000/-. Other than rent, there will be a security of 10 times the rent. The brokerage amount is rs 75000(Fixed).
There is also a monthly maintenance cost of rs. 15000. 
The booking amount is rs. 200000."
21,2 BHK Independent Builder Floor for rent in TC Palaya,TC Palaya,,14000,900,2,2,"2bhk independent floor..Semi furnished, ground floor available for rent out of 3 floors. 
Landmark :More supermarket & reliance fresh
Bus stop: T.C palaya
 Additional details :

You can easily park your car inside the compound.
 The house has muncipal supply.
No power backup available.
The kitchen has been built with modular fittings."
22,2 BHK Independent Builder Floor for rent in Murugeshpalya,Murugeshpalya,,14000,565,2,2,2bhk semi furnished house near shiva temple murugeshpalya for more details call harsha
23,2 BHK Independent Builder Floor for rent in 7th Block Koramangala,7th Block Koramangala,,20000,600,2,2,"Koramangala 7th block 2bed room with attached bathroom and kitchen .2nd floor rent 20k adavance 1lakh negotiable close to main road and park shopping center see this property call me back.
 Additional details :

You can easily park your car inside the compound.
 The house has boring.
Full power backup available.
The kitchen has been built with modular fittings.
This is a corner house property."
24,4 Bedroom Independent House for rent in Kaikondrahalli,Kaikondrahalli,Samarkhand Sunny Brooks,95000,1800,4,5,"Beautiful new villa for rent in in bangalore. Central and well located to nearby schools, hospital and shopping areas.
 Additional details :

Having a provision to park 1 cars.
You can easily park your car inside the compound
 The house has boring supply.
The kitchen has been built with modular fittings."
25,1 BHK Independent Builder Floor for rent in Bhattarahalli,Bhattarahalli,,12000,600,1,1,"A promise to the tenants to provide a lifestyle which is not just comforting and subtle but promises you a royal lifestyle.

This independent floor is located in the prime locality of bhattarahalli, bangalore and offer a number of facilities and advantages.

Property configuration-

The property is eloquently designed and is stretched across -

1. Carpet area 500 sq. Ft. 
2. Built up area 600 sq. Ft. 

 This independent builder floor is divided into 

1. One bedroom
2. One washroom
3. One balcony 
4. An ornamented kitchen

This property is setup on the 1st floor which offers the residents an advantage of experiencing a palatial lifestyle. This property syncretizes modernity and class.

Features

This builder floor is semi-Furnished with a number of features incorporated such as the basic facilities of lights and fans

1. Modular kitchen
2. Chimney 
3. Water purifier 
4. Spacious wardrobes
5. Wall mixer
6. Anti-Skid tiles with unique washing stone platform.
7. Granite corner shelves 
8. Western toilet
9. Stainless steel towels holder
10. Ventilation window with exhaust fan
11. Solar hot water line provided
12. Tv cabinet 

The property has great interiors set up for you and your family to have a scintillating experience. 

All surrounded by greenery, the property a part of an area which is less polluted and facilitates 24*7 water and electricity. There is a proper security setup as the security of residents is of utmost importance.

Location 

This property is strategically located in an advantageous location as all amenities are available nearby for the aid of the residents.

Key highlights

- Itpl - 6 kms
- Kr puram railway station - 4 kms
- Brigade world technology center - 7kms
- Bagmane tech park (Cts) cv raman nagar - 9kms
- Byappanahalli metro station - 8kms
- Decathlon old madras road -5.5kms
- Tcs l center(Kiadb export promotion industrial area) - 7 kms
- Itc infotech - 11kms
- Marathahalli - 10kms
- Manyata embassy tech park - 16 kms

So hurry! Avail the offer before anyone else does!

To get more details, contact owner.
 Additional details :

You can easily park your car inside the compound.
 The house has muncipal supply.
Partial power backup available.
The kitchen has been built with modular fittings."
26,3 Bedroom Independent House for rent in Dollars Colony,Dollars Colony,,60000,1600,3,3,"Its an independent bungalow in the top pish location
Very good quality people around 
Friendly neighborhood
Clise to school bank hospital market metro
And best pollution free environment
 Additional details :

Having a provision to park 0 cars.
You can easily park your car inside the compound
 The house has muncipal supply supply.
The property is facing a beautiful park."
27,2 BHK Residential Apartment for rent in Hegde Nagar,Hegde Nagar,Devin indira paradise,15000,1547,2,2,It is enclave with row houses and appartment. Nice greenery and slightly inside and away from traffic.
28,3 BHK Residential Apartment for rent in Hebbal,Hebbal,Karle Zenith Residences,80000,2858,3,4,"A 3 bhk flat for rent in hebbal, bangalore north is available. It is a spacious and thoughtfully designed apartment. This apartment with a single balcony is a part of karle zenith residences.
This apartment has 4 bathroom(s).
The 3 bhk apartment has a super built-Up area of 2858 sq. Ft.
 It is on the 19th of 34 floors and is available for all.
The property also has a servant room.
It is a semifurnished apartment with 4 wardrobe(s), 1 modular kitchen, 6 ac(s), 3 geyser(s), 7 fan(s), 16 light(s), 1 stove(s), 1 water purifier(s), 1 chimney(s) and 1 exhaust fan(s).
The apartment with 80-Feet wide road at the front is vaastu/feng-Shui compliant. The flat is north facing with marble flooring.
It is a 1-5 year old property in a gated society.
The society has many features for the benefits of residents. Some of them include club house/community center, fitness centre/gym, lift(s), swimming pool, park, rain water harvesting, shopping centre, visitor parking, intercom facility and security/fire alarm.
It also has amenities like club house/community center, fitness centre/gym, swimming pool, park and shopping centre.
The society offers full power back up.
There is one covered parking.
The expected monthly rental of this apartment is rs. 80000/-. Some of the additional costs includesecurity of 10 times the rent. The brokerage amount is rs 80000/- (Fixed).
The maintenance cost is rs. 15000/- Monthly.
The booking amount is rs. 100000/-."
29,4 Bedroom Independent House for rent in Marathahalli,Marathahalli,,60000,4300,4,4,"One of the most prominent and resourceful localities, marathahalli, bangalore east provides the residents with a subtle lifestyle along with all the modern day amenities.

Configuration of the property:

Constructed on a built up area of 3600sq. Ft., the house has ground and first floors which have been divided into 4 bedrooms, 4 bathrooms and 1 balcony. The house has a superior construction and comes with a pooja room and study room. The residents can enjoy the serene beauty of the surroundings and the clear sky.

Furnishings and amenities:

Being an unfurnished unit, the house comes with basic fittings like lights, fans and bathroom fixtures. The residents will have access to 1 covered and 1 open car parking.

 Locality details:

The property is situated close to all the basic amenities like atm, banks schools, hospitals, market areas and transport facilities.

Tactically situated, the complex is close to tugrahalli bus stop, making the property highly accessible.

Contact the owner for further details.
 Additional details :

Having a provision to park 1 cars.
You can easily park your car inside the compound
There is also a separate washroom for domestic help.
 The house has muncipal supply supply.
The kitchen has been built with modular fittings.
Piped gas facility is available.
The property is facing a beautiful park."
30,4 Bedroom Independent House for rent in Marathahalli,Marathahalli,,60000,4300,4,4,"One of the most prominent and resourceful localities, marathahalli, bangalore east provides the residents with a subtle lifestyle along with all the modern day amenities.

Configuration of the property:

Constructed on a built up area of 3600sq. Ft., the house has ground and first floors which have been divided into 4 bedrooms, 4 bathrooms and 1 balcony. The house has a superior construction and comes with a pooja room and study room. The residents can enjoy the serene beauty of the surroundings and the clear sky.

Furnishings and amenities:

Being an unfurnished unit, the house comes with basic fittings like lights, fans and bathroom fixtures. The residents will have access to 1 covered and 1 open car parking.

 Locality details:

The property is situated close to all the basic amenities like atm, banks schools, hospitals, market areas and transport facilities.

Tactically situated, the complex is close to tugrahalli bus stop, making the property highly accessible.

Contact the owner for further details.
 Additional details :

Having a provision to park 1 cars.
You can easily park your car inside the compound
There is also a separate washroom for domestic help.
 The house has muncipal supply supply.
The kitchen has been built with modular fittings.
Piped gas facility is available.
The property is facing a beautiful park."
31,1 Bedroom Independent House for rent in Kodathi,Kodathi,,7500,650,1,1,"Brand new spacious 1bhk house in kodathi gate, 5min from new wipro sarjapur road and 10min from rgv tech park. 5min walk to kodathi bus stop. Semi furnished. 30,000 advance.. 7500 rent. Family preferred.
 Additional details :

Having a provision to park 0 cars.
 The house has boring supply."
32,2 BHK Residential Apartment for rent in Babusapalaya,Babusapalaya,Sanvi Residency,20000,1070,2,2,"I want to rent out a 2 bhk apartment available in sanvi residency, babusapalaya, bangalore north. Located in a serene place, it has a super built-Up area of 1070. 0 sq. Ft. It is an attractive and a newly constructed property. The property has an amazing location and is semi-Furnished. It has 2 balcony(s) which offer an excellent view."
33,3 BHK Independent Builder Floor for rent in 1st Phase JP Nagar,1st Phase JP Nagar,,35000,1500,3,3,"3 bhk for rent in phase jp nagar bangalore.
The rent amount is rs 35000 and the security deposit is rs 350000 .
The house is in 2nd floor the total floors are 4 floors. The built up area is 1500 sq.Ft.
The super built up area is 1400 sq.Ft. The house is located in a very good area and it is located in a silent area.
The house is near to school, college, hospital, shopping mall, and all types of shops.
The metro station is near to the house, it is walk able distance to metro and bus stops. 
It is a corner property located in a very good and silent area."
34,2 BHK Independent Builder Floor for rent in Kodigehalli,Kodigehalli,,15500,1200,2,2,"2bhk brand new house available for rent with premium interiors and fittings. Very close itpl and to reputed schools and hospitals near by. Peaceful and lakeview location. Near to prestige shantinikethan.
 Additional details :

 The house has muncipal supply.
Partial power backup available.
The kitchen has been built with modular fittings.
The property is facing a park."
35,1 BHK Independent Builder Floor for rent in 7th Phase JP Nagar,7th Phase JP Nagar,,9000,950,1,1,Near brigade millennium and capital school and metro station yelachenahalli and big bazaar and good location and vastu near by hospitals pls contact sanvika realtors
36,4 BHK Residential Apartment for rent in Ardendale,Ardendale,AWHO Sandeep Vihar,32000,2469,4,4,"This property comes under awho sandeep vihar, located in whitefield-Hoskote road, opp. Chaitanya villas, kannamangla. This property is at 9th floor with north-East facing. This is a luxury flat.The society has been accomodated with adequate amenities such as sbi branch, health clinic, mini market, bus stand next to main gate, 24x7 under cctv surveillance, barberd wire fencing, swimming pool, 1.8km walking track, lawn tennis court, badminton court, children park, club house, gym, stp plant, biogas plant, arboriculture, street lights. Whole premises spread over 30acre land with neat and clean surroundings."
37,3 Bedroom Independent House for rent in Attur Layout,Attur Layout,,14500,1500,3,2,"Ideally located with all establishments situated within 100 meters.
 Additional details :

Having a provision to park 1 cars.
You can easily park your car inside the compound
There is also a separate washroom for domestic help.
 The house has muncipal supply supply."
38,2 BHK Independent Builder Floor for rent in Nallurhalli,Nallurhalli,,18000,900,2,1,"Property is close to whitefield it hub, super market and shopping centres

0.75km from whitefield post office on borewell road

1.75km to forum neighborhood mall whitefield/ columbia asia hospital

1.75km to columbia asia hospital

2km to ge health care/whitefield industrial area/epip area

2km to vydehi hospital and vydehi medical college

2.25km to inorbit mall/marriott hotel

2.25km to satya sai hospital
 Additional details :

You can easily park your car inside the compound.
 The house has boring.
No power backup available.
The kitchen has been built with modular fittings.
The property is located on the main road"
39,3 Bedroom Independent House for rent in HSR Layout,HSR Layout,,60000,1700,3,3,"The house semi furnished 3 bhk rental house hsr layout 6th sector . Nearby outer ring road and bda complex good wood work modular kitchen 24hrs kaveri and bore well water good sun light.
Nearby school market bus stop contact more details pls"
41,1 BHK Residential Apartment for rent in 5th Phase JP Nagar,5th Phase JP Nagar,dhanush apartment,15000,650,1,1,"1 bhk for rent in 5th phase jp nagar bangalore.
The rent amount is rs 15000 and the security deposit is rs 150000 .
The house is in 2nd floor the total floors are 4 floors. The built up area is 600 sq.Ft.
The super built up area is 650 sq.Ft. The house is located in a very good area and it is located in a silent area.
The house is near to school, college, hospital, shopping mall, and all types of shops.
The metro station is near to the house, it is walk able distance to metro and bus stops. 
It is a corner property located in a very good and silent area."
42,2 BHK Independent Builder Floor for rent in 6th Phase JP Nagar,6th Phase JP Nagar,,13000,1200,2,1,"Just 300mts from jp nagar metro station with 24 hrs water


 
No power backup available."
43,3 BHK Residential Apartment for rent in M.G Road,M.G Road,On Request,75000,1600,3,2,"3 bhk flat available for rent in mg road, bangalore central. It is located in on request, which is a very good society. The space is semi-Furnished, located on 2nd floor of 4 floors. It has 3 bedrooms, 2 bathrooms and 2 balcony(s). It is an ideal accommodation for all and has a super built-Up area of 1600. 0 sq. Ft. It includes 3 wardrobe(s), 1 modular kitchen, 3 geyser(s), 6 fan(s), 10 light(s), 1 chimney(s) and 1 exhaust fan(s). It is a 0-1 years. There is 1 covered parking. Available for a monthly rent of rs. 75000 and a security deposit of rs. 750000."
44,1 Bedroom Independent House for rent in Harlur,Harlur,Reliaable Lifestyle,15000,1200,1,1,"The house of your dreams is available for rent!

Get ready to live in this beautiful semi furnished independent house with plot area of 1200 sq. Ft. At harlur, bangalore south.

Its a duplex property, which comprises of 1 bedroom, 1 bathroom, 2 wardrobes, fans, lights, and modular kitchen, and pooja room.

Everything within the house is of high quality.

There is a park within the complex.

Residents will be able to enjoy the benefits of a secure and safe neighborhood as the community is gated.

Many reputed hospitals, and restaurants are at close proximity to the property.

The house is also very close to outer ring road offices, e-City, and sarjapur road.

Key highlights (Facilities/features):

A) vaastu compliant
B) water storage
C) visitor parking
D) maintenance staff
E) waste disposal
F) rain water harvesting

Its a tailor made property keeping convenience of residents at top priority. 

Avail it now as this is a once in a lifetime opportunity.

Contact owner for more information."
45,3 BHK Residential Apartment for rent in 6th Phase JP Nagar,6th Phase JP Nagar,manoj apartment,36000,1600,3,3,"3 bhk for rent in 6th phase jp nagar bangalore.
The rent amount is rs 36000 and the security deposit is rs 300000 .
The house is in ground floor the total floors are 5 floors. The built up area is 1600 sq.Ft.
The super built up area is 1400 sq.Ft. The house is located in a very good area and it is located in a silent area.
The house is near to school, college, hospital, shopping mall, and all types of shops.
The metro station is near to the house, it is walk able distance to metro and bus stops. 
It is a corner property located in a very good and silent area."
46,2 BHK Residential Apartment for rent in Yeshwanthpur,Yeshwanthpur,RNS Shanthi Nivas,38000,1670,2,2,"Fully furnished apartment on 9th floor with great view. Near to market, schools, hospitals, banks and atm as well. This home is perfect for families, or corporate guest house or 2 bachelors. It is loaded with amenities and is in a convenient location. This furnished 2 bhk apartment has everything that you need. This large 1700 sqft. Home comes with a convenient parking lot for a car and bike. This home is well equipped with 2 wardrobes & also has 2 bathrooms. This home brings in light and has a great view and a large modular kitchen. 

Gated community. Super apartment. Ideal for corporate guest house or someone needing luxurious furniture, facilities etc. Located near metro, 5 start hotel. The society has dedicated security guards for every tower.
Full power backup is available.
Daily needs shopping could be done within the society premises to make the stay convenent.
Piped gas facility is available in the property."
